source,target,relclas
陈明水,陈明岩,三代以内直系血亲及夫妻
陈明水,陈俊睦,密切伙伴
陈齐贤,李庆烈,普通伙伴
陈齐贤,李攀福,普通伙伴
陈齐贤,陈仙精,普通伙伴
陈齐贤,殷雪村,普通伙伴
陈齐贤,陈若锦,普通伙伴
陈齐贤,廖正兴,普通伙伴
陈德源,陈齐贤,三代以内直系血亲及夫妻
陈齐贤,林文庆,密切伙伴
陈齐贤,李浚源,密切伙伴
陈齐贤,邱雁宾,密切伙伴
陈齐贤,陈若锦,密切伙伴
陈齐贤,曾江水,密切伙伴
陈齐贤,陈温祥,三代以内直系血亲及夫妻
陈齐贤,陈维贤,三代以内直系血亲及夫妻
陈齐贤,陈达贤,三代以内直系血亲及夫妻
陈人浩,李光前,轻度社交
陈若锦,刘隆镇,普通伙伴
陈若锦,邱雁宾,普通伙伴
陈若锦,佘连城,普通伙伴
陈若锦,张善庆,普通伙伴
刘溪士,陈若锦,轻度社交
陈若锦,许山兴,普通伙伴
陈若锦,佘连城,普通伙伴
陈若锦,李浚源,普通伙伴
陈若锦,林义顺,普通伙伴
陈若锦,杨本盛,普通亲戚
陈玉合,陈若锦,普通亲戚
陈若锦,陈永锡,普通伙伴
陈正端,陈若锦,普通伙伴
陈若锦,陈仙精,普通伙伴
陈若锦,陆佑,普通伙伴
陈若锦,黄亚福,普通伙伴
陈若锦,林秉祥,普通伙伴
陈若锦,殷雪村,密切伙伴
陈若锦,廖正兴,密切伙伴
陈若锦,林文庆,密切伙伴
陈若锦,曾江水,密切伙伴
陈若锦,颜永成,轻度社交
陈若锦,陈合盛,轻度社交
陈若锦,陈思敏,三代以内直系血亲及夫妻
陈若锦,陈恭三,普通伙伴
陈若锦,张贵添,普通伙伴
陈若锦,林永庆,轻度社交
陈若锦,陈明远,普通伙伴
陈若锦,李清渊,普通伙伴
林光瑗,陈若锦,普通亲戚
陈若锦,罗窗绮,普通亲戚
洪锦池,陈若锦,普通亲戚
陈若锦,林德为,普通亲戚
陈若锦,徐桂梦,普通伙伴
陈若锦,罗丰禄,普通亲戚
陈若锦,蔡仰泰,普通伙伴
陈若锦,庄庆利,普通伙伴
陈诗武,宾威廉,轻度社交
库克姑娘,陈诗武,普通伙伴
陈诗武,基斯柏里,密切伙伴
陈诗武,格兰特,密切伙伴
陈诗武,陈德顺,三代以内直系血亲及夫妻
陈诗武,陈有为,三代以内直系血亲及夫妻
陈诗武,陈有余,三代以内直系血亲及夫妻
陈玉英,陈诗武,普通亲戚
陈诗武,李绍茂,普通亲戚
陈思敏,宋振荣,普通伙伴
陈思敏,宋旺相,普通伙伴
陈思敏,赵恭喜,普通伙伴
杨本盛,陈思敏,普通亲戚
陈思敏,陈丙荣,普通伙伴
陈思敏,陈秋金,普通伙伴
陈思敏,罗窗绮,三代以内直系血亲及夫妻
罗丰禄,陈思敏,普通亲戚
陈思敏,郑文德,普通伙伴
陈思敏,林文庆,普通伙伴
陈思敏,邱雁宾,普通伙伴
陈思敏,陈谦福,普通伙伴
陈送,李荣元,普通亲戚
陈送,陈浩盛,普通伙伴
陈泰,张友,密切伙伴
陈泰,黄文元,密切伙伴
陈泰,陈祀柏,普通伙伴
陈泰,陈连水,三代以内直系血亲及夫妻
陈泰,陈成章,三代以内直系血亲及夫妻
陈泰,陈连南,三代以内直系血亲及夫妻
陈泰,林义顺,普通伙伴
陈维龙,吴寿珍,轻度社交
陈维龙,李光前,普通伙伴
陈维龙,吴应隆,普通伙伴
阮文发,陈武烈,三代以内直系血亲及夫妻
宋旺裕,陈武烈,轻度社交
陈武烈,林文庆,普通伙伴
陈武烈,陈周锦,普通伙伴
陈武烈,陈合隆,普通伙伴
陈武烈,吴寿珍,普通伙伴
陈武烈,李清渊,普通伙伴
陈武烈,陈合盛,普通伙伴
陈武烈,李碧云,普通伙伴
陈武烈,佘应瑾,普通伙伴
陈武烈,陈佛元,普通伙伴
陈武烈,陈若锦,普通伙伴
陈武烈,陈佛元,普通伙伴
陈纯道,陈武烈,三代以内直系血亲及夫妻
陈武烈,陈昭彬,三代以内直系血亲及夫妻
陈武烈,陈季良,三代以内直系血亲及夫妻
陈武烈,陈季随,三代以内直系血亲及夫妻
陈武烈,陈季騧,三代以内直系血亲及夫妻
陈武烈,陈嘉庚,密切伙伴
陈武烈,孙中山,密切伙伴
陈武烈,林义顺,普通伙伴
陈武烈,潘春阳,普通伙伴
陈旭年,刘孝钦,密切伙伴
陈旭年,佘有进,普通伙伴
陈旭年,阿武峇卡,密切伙伴
陈旭年,章芳琳,密切伙伴
陈旭年,陈振贤,三代以内直系血亲及夫妻
陈旭年,张乞,密切伙伴
朱惠琳,陈仰安,密切伙伴
陈延谦,叶清沙,轻度社交
陈延谦,陈先进,普通伙伴
陈延谦,邱国瓦,普通伙伴
陈延谦,留鸿石,普通伙伴
陈延谦,陈笃山,三代以内直系血亲及夫妻
陈延谦,陈嘉庚,轻度社交
陈延谦,郑螺生,密切伙伴
陈延谦,林金殿,密切伙伴
陈延谦,蒋骥甫,密切伙伴
陈延谦,胡先愿,密切伙伴
陈延谦,黄庆昌,密切伙伴
陈延谦,黄卓善,密切伙伴
陈延谦,王丙丁,密切伙伴
陈延谦,林惠祥,普通亲戚
陈延谦,林斐,普通亲戚
陈育崧,许云樵,普通伙伴
陈育崧,林惠祥,密切伙伴
陈祯祥,陈振传,三代以内直系血亲及夫妻
戴河水,张乞,普通亲戚
戴板鹗,戴河水,三代以内直系血亲及夫妻
戴河水,章三潮,密切伙伴
戴河水,蔡南,密切伙伴
戴河水,章芳琳,密切伙伴
戴河水,陈金殿,密切伙伴
戴河水,洪金捷,密切伙伴
戴河水,佘怀德,密切伙伴
戴河水,佘德秀,密切伙伴
戴河水,温振周,密切伙伴
戴河水,林顶合,密切伙伴
戴山交,戴河水,三代以内直系血亲及夫妻
戴河水,戴文通,三代以内直系血亲及夫妻
傅无闷,陈允洛,密切伙伴
傅无闷,李厚基,普通伙伴
胡文虎,傅无闷,普通伙伴
傅无闷,吴氏,三代以内直系血亲及夫妻
傅无闷,傅紫曦,三代以内直系血亲及夫妻
傅无闷,傅紫祯,三代以内直系血亲及夫妻
傅无闷,傅紫礼,三代以内直系血亲及夫妻
傅无闷,刘韵仙,三代以内直系血亲及夫妻
傅无闷,傅超人,三代以内直系血亲及夫妻
傅无闷,傅超贤,三代以内直系血亲及夫妻
傅无闷,傅继慈,三代以内直系血亲及夫妻
高德根,陈六使,普通伙伴
高德根,叶平玉,普通伙伴
郭可模,郭可培,三代以内直系血亲及夫妻
郭可模,郭玉英,三代以内直系血亲及夫妻
郭可模,郭成瑞,三代以内直系血亲及夫妻
何葆仁,陈万安,普通伙伴
何葆仁,李光前,普通伙伴
何葆仁,林邦彦,普通伙伴
何葆仁,叶玉堆,普通伙伴
林秉祥,何葆仁,普通伙伴
何葆仁,胡文虎,密切伙伴
何葆仁,林庆年,密切伙伴
何葆仁,黄重吉,密切伙伴
何葆仁,许生理,密切伙伴
林光瑗,洪锦池,普通亲戚
洪俊成,洪锦池,三代以内直系血亲及夫妻
洪锦绰,洪锦池,三代以内直系血亲及夫妻
洪锦池,洪基源,普通亲戚
洪基源,萧长水,轻度社交
洪基源,萧清南,轻度社交
洪基源,萧清发,轻度社交
洪基源,陈笃,轻度社交
洪锦池,洪福寿,三代以内直系血亲及夫妻
洪锦池,林德为,普通亲戚
侯西反,王嘉禄,密切伙伴
侯西反,刘牡丹,普通伙伴
黄奕欢,侯西反,密切伙伴
李亮琪,侯西反,普通伙伴
李振殿,侯西反,普通伙伴
侯西反,周献瑞,普通伙伴
侯西反,孙中山,轻度社交
胡少炎,庄惠泉,普通伙伴
胡少炎,林谋盛,普通伙伴
胡少炎,林庆年,普通伙伴
胡少炎,李金泉,普通伙伴
胡少炎,叶瑞人,普通伙伴
胡少炎,王吉士,普通伙伴
胡少炎,英倚泉,普通伙伴
胡文虎,胡文豹,三代以内直系血亲及夫妻
胡子钦,胡文豹,三代以内直系血亲及夫妻
胡文豹,郑氏（姐）,普通亲戚
胡文豹,郑氏（妹）,三代以内直系血亲及夫妻
胡文豹,杜苏,三代以内直系血亲及夫妻
胡文豹,张凤英,三代以内直系血亲及夫妻
胡文豹,胡清才,三代以内直系血亲及夫妻
胡文豹,胡清湖,三代以内直系血亲及夫妻
胡文豹,李志城,普通亲戚
胡文豹,胡清新,三代以内直系血亲及夫妻
胡文豹,李益森,普通亲戚
胡文豹,胡清德,三代以内直系血亲及夫妻
胡文虎,汤湘霖,普通伙伴
胡文虎,何葆仁,密切伙伴
胡文虎,林庆年,密切伙伴
胡文虎,黄重吉,密切伙伴
胡文虎,许生理,密切伙伴
胡文虎,林霭民,普通伙伴
胡文虎,转道法师／老和尚,普通伙伴
胡文虎,郑雨生,密切伙伴
胡子钦,胡文虎,三代以内直系血亲及夫妻
胡文虎,郑氏（姐）,三代以内直系血亲及夫妻
胡文虎,郑氏（妹）,普通亲戚
胡文虎,胡好,三代以内直系血亲及夫妻
胡文虎,胡资周,普通伙伴
胡文虎,胡清才,普通亲戚
胡文虎,胡蛟,三代以内直系血亲及夫妻
胡文虎,殷碧霞,普通伙伴
胡亚基,邱立南,密切伙伴
胡亚基,佘松城,普通伙伴
胡亚基,康乐公爵,轻度社交
胡亚基,胡亚业,三代以内直系血亲及夫妻
胡亚基,维多利亚女皇,轻度社交
胡亚基,胡颖德,三代以内直系血亲及夫妻
胡亚基,曾全福,普通伙伴
胡亚基,蔡茂春,普通伙伴
黄永祺,黄桂楠,三代以内直系血亲及夫妻
黄桂岩,黄桂楠,三代以内直系血亲及夫妻
黄桂丁,黄桂楠,三代以内直系血亲及夫妻
黄桂楠,黄桂馥,三代以内直系血亲及夫妻
黄曼士,徐悲鸿,密切伙伴
黄乃裳,许雪湫,普通伙伴
黄乃裳,黄端琼,三代以内直系血亲及夫妻
黄乃裳,黄淑琼,三代以内直系血亲及夫妻
黄乃裳,伍连德,普通亲戚
黄乃裳,林文庆,普通亲戚
黄乃裳,邱菽园,普通伙伴
黄乃裳,孙中山,普通伙伴
黄乃裳,张永福,密切伙伴
黄乃裳,萧保魂,普通亲戚
黄乃裳,萧保龄,普通亲戚
黄瑞朝,陈祀恩,密切伙伴
黄金钻,黄瑞朝,三代以内直系血亲及夫妻
赫利特,黄瑞朝,普通伙伴
黄瑞朝,莱佛士,轻度社交
黄瑞朝,阿瑟•杨格,轻度社交
黄海筹,黄树芬,三代以内直系血亲及夫妻
黄树芬,黄树芳,三代以内直系血亲及夫妻
黄树芬,黄树昆,三代以内直系血亲及夫妻
黄树芬,黄寿炽,三代以内直系血亲及夫妻
黄树芬,黄美瑶,三代以内直系血亲及夫妻
黄亚福,陈仙精,普通伙伴
黄亚福,陆佑,普通伙伴
黄亚福,林秉祥,普通伙伴
黄亚福,梁敏修,轻度社交
黄亚福,邱雁宾,轻度社交
黄亚福,黄兆贤,三代以内直系血亲及夫妻
黄亚福,黄兆珪,三代以内直系血亲及夫妻
黄亚福,黄兆琨,三代以内直系血亲及夫妻
黄亚福,黄兆南,三代以内直系血亲及夫妻
黄亚福,黄兆镇,三代以内直系血亲及夫妻
黄亚福,黄秉盛,三代以内直系血亲及夫妻
黄奕欢,刘牡丹,密切伙伴
黄奕欢,陈嘉庚,密切伙伴
黄奕欢,周献瑞,普通伙伴
黄奕欢,黄奕根,三代以内直系血亲及夫妻
孔天增,莱佛士,轻度社交
林文庆,孔天增,密切伙伴
李登辉,孔天增,普通伙伴
袁世凯,孔天增,普通伙伴
李光前,史联对,普通伙伴
庄希泉,李光前,普通伙伴
李光前,伍伯胜,普通伙伴
李光前,林庆年,普通伙伴
李光前,王景成,普通伙伴
李光前,林耀翔,普通伙伴
李光前,薛永黍,普通伙伴
李光前,伍连德,轻度社交
李光前,李约瑟,普通伙伴
李光前,李玉荣,三代以内直系血亲及夫妻
李光前,叶玉堆,密切伙伴
马徽祥,李光前,密切伙伴
李光前,陈维龙,普通伙伴
李光前,吴应隆,普通伙伴
李光前,陈万安,普通伙伴
李光前,林邦彦,普通伙伴
李光前,何葆仁,普通伙伴
李光前,陈六使,普通伙伴
李光前,陈森茂,普通伙伴
李光前,林汉河,普通伙伴
黄勖吾,李光前,轻度社交
李云龙,李光耀,三代以内直系血亲及夫妻
李进坤,李光耀,三代以内直系血亲及夫妻
李进汤,李光耀,普通亲戚
李珠娘,李光耀,普通亲戚
李淑娘,李光耀,普通亲戚
李维娘,李光耀,普通亲戚
李光耀,李金耀,三代以内直系血亲及夫妻
李光耀,李天耀,三代以内直系血亲及夫妻
李光耀,李祥耀,三代以内直系血亲及夫妻
李光耀,李金满,三代以内直系血亲及夫妻
李光耀,李显龙,三代以内直系血亲及夫妻
李光耀,林浪新,轻度社交
李俊承,庄笃明,密切伙伴
李俊承,邱菽园,密切伙伴
李俊承,转道,密切伙伴
李俊承,庄笃明,密切伙伴
李俊承,林惠祥,普通伙伴
李俊承,珊顿•汤姆士,轻度社交
李浚源,许山兴,密切伙伴
李浚源,林义顺,普通亲戚
李浚源,佘连城,密切伙伴
李深端,李浚源,密切伙伴
李浚源,李庆禧,普通亲戚
李清渊,李浚源,三代以内直系血亲及夫妻
李浚源,陈德娘,三代以内直系血亲及夫妻
李浚源,林秉祥,密切伙伴
李浚源,陈长佑,轻度社交
李浚源,胡维德,轻度社交
李浚源,陈先进,普通伙伴
李浚源,林文庆,密切伙伴
李浚源,邱雁宾,密切伙伴
李浚源,曾江水,密切伙伴
李浚源,林维芳,普通伙伴
李浚源,李宝娘,三代以内直系血亲及夫妻
李浚源,李邦赐,三代以内直系血亲及夫妻
李浚源,林忠邦,普通亲戚
黄文德,李浚源,普通亲戚
李浚源,蔡永远,普通亲戚
李浚源,蔡仰泰,普通亲戚
李庆杰,许山治,普通亲戚
许行云,李庆杰,普通亲戚
李庆杰,苏芳泉,普通亲戚
李庆杰,陈敬元,普通亲戚
李庆杰,许山泉,普通亲戚
李庆杰,许山林,普通亲戚
李庆杰,许山河,普通亲戚
李庆杰,许山兴,普通亲戚
李桂林,李庆杰,三代以内直系血亲及夫妻
李庆庸,李庆杰,三代以内直系血亲及夫妻
李庆炎,李庆杰,三代以内直系血亲及夫妻
李庆烈,李庆杰,三代以内直系血亲及夫妻
李庆杰,李石农,三代以内直系血亲及夫妻
李庆杰,李深端,三代以内直系血亲及夫妻
李庆杰,李深学,三代以内直系血亲及夫妻
李庆杰,谢佛珊,普通亲戚
李庆杰,谢孝义,三代以内直系血亲及夫妻
李庆杰,陈丰明,普通亲戚
李桂林,李庆炎,三代以内直系血亲及夫妻
李庆炎,李庆庸,三代以内直系血亲及夫妻
李庆炎,李庆烈,三代以内直系血亲及夫妻
李庆炎,李石农,三代以内直系血亲及夫妻
李清渊,李庆禧,普通亲戚
李清岩,李清渊,三代以内直系血亲及夫妻
李清渊,陈德娘,普通亲戚
李清渊,颜永成,密切伙伴
李清渊,吴寿珍,密切伙伴
李清渊,郑玉瓞,普通伙伴
李清渊,林永庆,普通伙伴
李清渊,陈明远,普通伙伴
李清渊,徐桂梦,普通伙伴
李清渊,蔡永远,普通亲戚
李绍茂,莱佛士,轻度社交
李绍茂,陈玉英,三代以内直系血亲及夫妻
李伟南,李玉波,密切伙伴
李伟南,李合平,密切伙伴
李伟南,杨缵文,密切伙伴
李伟南,林义顺,密切伙伴
李伟南,周镇豪,普通亲戚
黄仲涵,李云龙,普通伙伴
李云龙,莱佛士,轻度社交
李云龙,李进坤,三代以内直系血亲及夫妻
李云龙,李进汤,三代以内直系血亲及夫妻
李云龙,李珠娘,三代以内直系血亲及夫妻
李云龙,李淑娘,三代以内直系血亲及夫妻
李云龙,李维娘,三代以内直系血亲及夫妻
李云龙,李金耀,三代以内直系血亲及夫妻
李云龙,李天耀,三代以内直系血亲及夫妻
李云龙,李祥耀,三代以内直系血亲及夫妻
李云龙,李金满,三代以内直系血亲及夫妻
李云龙,李显龙,普通亲戚
李云龙,陈长乐,密切伙伴
李振殿,李铁民,密切伙伴
李振殿,颜长春,密切伙伴
李振殿,黄奕欢,普通伙伴
李振殿,李亮琪,密切伙伴
左秉隆,李钟珏,普通亲戚
李钟珏,江建霞,普通亲戚
李珠娘,刘溪士,密切伙伴
李进坤,李珠娘,三代以内直系血亲及夫妻
李进汤,李珠娘,三代以内直系血亲及夫妻
李珠娘,李淑娘,三代以内直系血亲及夫妻
李珠娘,李维娘,三代以内直系血亲及夫妻
李珠娘,李金耀,普通亲戚
李珠娘,李天耀,普通亲戚
李珠娘,李祥耀,普通亲戚
李珠娘,李金满,普通亲戚
李珠娘,李显龙,普通亲戚
梁宙,周献瑞,密切伙伴
梁宙,林建达,密切伙伴
威廉•启信,梁宙,普通伙伴
廖正兴,刘隆镇,普通伙伴
廖正兴,佘连城,普通伙伴
廖正兴,陈谦福,普通伙伴
廖正兴,庄庆利,普通伙伴
廖正兴,林文庆,普通伙伴
廖正兴,蔡子庸,密切伙伴
廖正兴,陈云秋,密切伙伴
廖正兴,杨缵文,密切伙伴
廖正兴,陈仙精,普通伙伴
廖正兴,殷雪村,普通伙伴
廖正兴,林树森,普通亲戚
李乾盛,廖正兴,普通伙伴
廖正兴,黄松亭,密切伙伴
廖正兴,林秉祥,密切伙伴
廖正兴,黄庆祥,普通亲戚
廖正兴,陈锡九,普通亲戚
林邦彦,陈万安,普通伙伴
林邦彦,叶玉堆,普通伙伴
林邦彦,何葆仁,普通伙伴
林和坂,林秉懋,三代以内直系血亲及夫妻
林秉祥,林秉懋,三代以内直系血亲及夫妻
林秉懋,黄敏,普通亲戚
林秉懋,林金泽,三代以内直系血亲及夫妻
林秉懋,黄祥达,普通亲戚
林秉祥,陈仙精,普通伙伴
林秉祥,陆佑,普通伙伴
林秉祥,陈先进,普通伙伴
林秉祥,何葆仁,普通伙伴
林和坂,林秉祥,三代以内直系血亲及夫妻
林秉祥,黄敏,普通亲戚
林秉祥,林绍裘,三代以内直系血亲及夫妻
林秉祥,林金泽,普通亲戚
林秉祥,黄祥达,普通亲戚
林衡南,左秉隆,密切伙伴
林惠祥,林汉,三代以内直系血亲及夫妻
林志义,林竹轩,三代以内直系血亲及夫妻
林志义,林谋盛,三代以内直系血亲及夫妻
林志义,殷雪村,普通伙伴
林谋盛,庄惠泉,普通伙伴
林谋盛,林庆年,普通伙伴
林谋盛,李金泉,普通伙伴
林谋盛,叶瑞人,普通伙伴
林谋盛,王吉士,普通伙伴
林谋盛,胡少炎,普通伙伴
林谋盛,英倚泉,普通伙伴
林文庆,王德霖,普通伙伴
林文庆,孔天增,轻度社交
林天尧,林文庆,三代以内直系血亲及夫妻
林文庆,刘隆镇,普通伙伴
林文庆,佘连城,普通伙伴
林文庆,廖正兴,普通伙伴
林文庆,陈谦福,普通伙伴
林文庆,庄庆利,普通伙伴
林文庆,伍连德,普通亲戚
林文庆,宋旺相,普通伙伴
林文庆,黄端琼,三代以内直系血亲及夫妻
林文庆,黄淑琼,普通亲戚
黄乃裳,林文庆,普通亲戚
林文庆,李碧云,普通伙伴
林文庆,陈周锦,普通伙伴
林文庆,陈合隆,普通伙伴
林文庆,陈长佑,轻度社交
林文庆,邱雁宾,密切伙伴
林文庆,曾江水,密切伙伴
林文庆,陈合盛,密切伙伴
林文庆,佘连城,普通伙伴
林文庆,颜永成,普通伙伴
林文庆,邱菽园,密切伙伴
林文庆,陈杞柏,普通伙伴
林文庆,刘金榜,普通伙伴
林文庆,林义顺,普通伙伴
林文庆,陈谦福,密切伙伴
黄端琼,陈德娘,密切伙伴
林文庆,佘正裕,普通伙伴
林文庆,谢庆振,普通伙伴
林文庆,佘柏城,轻度社交
孙中山,林文庆,普通伙伴
肃亲王,林文庆,轻度社交
袁世凯,林文庆,轻度社交
